Duration (in seconds),RecordedDate,ResponseId,App-Func,Product-Pers,Adv-Marketing,Analytics,Att-Enact,Att-Enact-Explain,Changes-Explain,State,Law-Awareness,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,Condition,Law,AppCategory,AppName
503,4/18/25 9:22,R_7fACdJI3JqLLTKz,"1,2,3,4,6,10,11,12","15,16,18,23","15,18,20,23","1,16,20,23",1,inorder to safeguard and protect each onesprivate information,yes,california,5,1,2,,2,1,,2,,67e43d8f409802c381ab259f,67fecb3ede31a76593440504,68027a54963923c08ff6b7af,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
289,4/18/25 9:22,R_5t05ZSAfwZ8e67m,"1,2,4,7,12,13,20","1,7,12,13,20,21","1,12,13,14,20,21","7,13,20,22,23",1,"I think data privacy is important and I don't think companies should be collecting more data than needed from consumers. If they are, they need to let consumers know so they can be compensated or opt-out.",I think they will have to change saving and storing information. I don't think they would be massive changes since it is rolling back features rather than creating net new features.,Washington,47,2,1,,2,"1,4",,1,,628eada3a9c9e0776884f27d,67fecb3ede31a76593440504,68027b34c60a4cad14e9a8f2,California,to a purpose that consumers would reasonably expect.,finance,Venmo
592,4/18/25 9:22,R_7nDzmc0l57qoOAJ,"2,3,7,8,16,18,20,22,23","5,6,8,12,13,14,20","4,5,6,8,12,13,14,20","3,4,7,8,13,16,20,21,22,23",1,I agree and don't want these companies to be able to view and keep all of our data. Keep it at a fair minimum.,I guess that they can make and install some type of blocking feature.,Illinois,,5,1,,2,2,,5,,67a3c330ba64a132f9de6787,67fecb3ede31a76593440504,68027a005977d4f5a1d6f003,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
632,4/18/25 9:23,R_6rNTZPIB5EF2RFF,"7,8,15,16,17,20,22,23","1,2,3,5,7,8,12,13,17,20,21,25","7,12,13,17,20,21,25","5,7,18,20,21,22,23",4,I don't think that the government is capable of justly implementing this law and there is a great possibility of abuse.,I'm not sure they can.,CO,,4,1,,2,1,,2,,639e0331bc3cc615f5a3dd89,67fecb3ede31a76593440504,680279db6f4f842b7ef37a16,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
525,4/18/25 9:23,R_7YekTXlozCT8yEF,"4,8,15,20,24,26","1,2,8,16,21,25","1,4,17,26","1,2,3,9,15,16,17,18,19,24",1,because its inappropriate to collect users personal data without their permission ,to ask for users permission ,utah,"1,3,8,9,11,12,32",4,2,,2,1,,1,,674dcf86d562257d64750471,67fecb3ede31a76593440504,68027a3f36d87d95f66b4763,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
356,4/18/25 9:23,R_1z7OXVPXNDovgxX,"1,2,3,4,12","8,12,14,20,21","12,14","3,5,7,8,9,12,13,14,16",1,I do not want to share too much info since my info may be sold or lacked.,Reduce info require and secure the info they collected.,Oregon,"6,37,46",3,1,,2,4,,2,,67e6ab0195afe547df3e3f34,67fecb3ede31a76593440504,68027b004493abfa5870d1d0,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
527,4/18/25 9:23,R_3G5uJL4HJCfLqzT,"1,5,12,15,16,17,24,25","3,4,5,6,11,23,25","1,2,3,5,8,12,13,15,17,18,20,23,25","1,8,12,13,15,16,17,18,24,26",1,I look out for the exact information that should be placed at the right place like the personalized information,Not keeping essential information,California,"5,9,32",4,1,,2,1,,1,,629af8d19ec0e46b3623312c,67fecb3ede31a76593440504,68027a4c7451a0c81344d601,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
249,4/18/25 9:23,R_5BeSdF0OLlgxQIf,"1,2,3,4,7,10,15,16,17,18,20,21,22,23,25","10,15,16,17,21,22,23","12,13,14,15,16,17,18,20,21,22,23,25","20,21,22,23",1,Companies should not be collecting more data than they absolutely need and should definitely not be sharing data with any other entity. ,,Nebraska,,4,2,,2,"1,2,3",,2,,66d7b253c64eb18aa549d79c,67fecb3ede31a76593440504,68027b6d2d150856fae25027,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
500,4/18/25 9:23,R_17kCaWwaEWzreVu,"1,3,4,5,6,8,10,20,22,23","1,3,4,5,6,8,10,12,13,14,20,23","1,3,4,5,6,8,10,12,13,14,20,21,23","1,3,4,5,6,10,20,23",1,I believe too much personal information is being requested from many apps. People should be able to protect much of this information.,Limit the amount of information they require.,Iowa,,5,1,,2,1,,5,,66bea02c6d557029fc8f99bc,67fecb3ede31a76593440504,68027a74f813382f60fe6548,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
418,4/18/25 9:23,R_7EWjzBCYE0Rfe7n,"2,13,16,18,20,23","12,13,20,21,23","5,12,13,20,21","2,4,12,13,18,20,21,23",1,The information is used to make the data shared as minimal as possible ,Not much I think,Pennsylvania,,4,2,,2,1,,6,,645a9e5eb7c78e0ec07bfdc3,67fecb3ede31a76593440504,68027acc41bfda89b2e060fc,Procedural,to a purpose they disclose to the consumer.,food and drink,DoorDash
267,4/18/25 9:23,R_364QM6AWKAPZ0Ii,"22,23","12,13","20,21","20,22,23",3,I would like to do some more research into this before I determine if it should be enacted or not.,Not sure,NC,,5,2,,2,1,,2,,65ecf22abc066fbabecdea60,67fecb3ede31a76593440504,68027b695a8245a0fd9413e5,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
337,4/18/25 9:23,R_5rVtjGRLIPCtT0H,"3,13,15,18,23,26","5,8,10,20,22","1,4,12,15,19,20","5,8,12,16,23,25",2,"It supports ethical practices and builds consumer trust while balancing business needs.








","They'll also need to revise privacy policies, minimize background data tracking, and implement stricter data access controls.







",Louisiana,18,1,1,,2,1,,2,,67f1efac356ff38124712996,67fecb3ede31a76593440504,68027b14be33365e2c0da7c8,California,to a purpose that consumers would reasonably expect.,game,Roblox
396,4/18/25 9:23,R_79c8f9l1tqAcB8C,"22,23","7,20,21,23",21,"22,23",1,"Companies should not be allowed to collect data from their users, unless they specifically tell them what they are doing, and then give them the chance to opt out.","Be transparent about when data is collected, and how it is used.",Michigan,,5,2,,2,1,,5,,5c0fcccc1f6f150001487111,67fecb3ede31a76593440504,68027af0351ad0b69dd6fc21,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
294,4/18/25 9:23,R_5CYecw0It3dnLIR,"7,10,13,20,22","1,12,14","13,14,20,21","13,14,20,21,23",2,They shouldnt be able to collect all our data,"stop collecting sensitive information
",missouri,25,2,2,,2,1,,3,,59f0f82ce75b450001a699ad,67fecb3ede31a76593440504,68027b561907eaaf69cec501,California,to a purpose that consumers would reasonably expect.,shopping,Walmart
282,4/18/25 9:23,R_772ypFd8XkcnKs0,"1,22","1,12,13,14,20","1,20,21","1,20,21,23",2,I think it ensures that data is only used for the stated purpose and not for anything else.,I think they will have to be more careful when it comes to users data in order to comply with this regulation.,OH,5,1,2,,2,6,Middle Eastern,5,,655f8b959477c803eb906622,67fecb3ede31a76593440504,68027b6a8e14888474b64d9f,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
331,4/18/25 9:23,R_7hLvfsGNyJlhfqF,"20,23",18,"18,23","18,20,23",2,I don't think collection of personal data should be used; It is too invasive and could lead to data breaches,Ensure encryption protocols are in place; make sure users data is secure,California,,5,2,,2,"1,4",,2,,65e127e2e4b6853859b66b09,67fecb3ede31a76593440504,68027b39c5792239631f7b50,California,to a purpose that consumers would reasonably expect.,finance,Venmo
314,4/18/25 9:23,R_3ISCHyQtHf6oygm,,"1,12,13","1,12,13,14",,2,"I dont think it is fair that every company selling us a tech product is also trying to use that sale to forcing us to give them our data so they can sell that as well. I just got a new Samsung TV and I had to turn off the option to track my data out of the box. I don't believe these companies have ""reasonable"" rights to any of our data other than our user name and inapp search history to help make suggestions. ",Figure out ways of making money without collecting and selling people's personal data. Regulations like this are very much needed. ,Florida,,3,1,,2,1,,5,,67178054a368314e6afa5ed4,67fecb3ede31a76593440504,68027b4294c5e0b1eda00835,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
517,4/18/25 9:23,R_3qCSFqcVjJftSeT,"1,2,3,7,13,20,21,22,23","1,2,3,7,13,20,21,22,23","2,7,13,14,17,20,21,22,23","1,2,20,22,23",2,I think this will help protect the user's privacy and data. It will provide good guidelines for companies to follow and enforce. ,They won't have the wildwest of freedom when it comes to obtaining data. They will have to be more thoughtful and tactful about what data they request from users. ,Nebraska,,2,1,,2,1,,2,,5fe4394bc5f99b194c31318b,67fecb3ede31a76593440504,68027a324b41a8ed24f7dfdc,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
572,4/18/25 9:23,R_540l9zgwTVkm7yU,"22,23",20,"20,21,22,23","20,22,23",1,companies shouldn't be collecting any data that they can profit from. If they need diagnostics on how their item operates that's fine but there should be no profit motives from user data.,they will have to collect less data and be more transparent with what data they collect and why. ,Florida,,4,1,,2,1,,2,,6298f0e21abd78cb684b723c,67fecb3ede31a76593440504,68027a4e2d6fc2c5d5f3093b,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
394,4/18/25 9:23,R_5OmtdOdQ6JypDnH,"1,7,13,20,23","7,13,20","1,7","1,7,12,13",2,Some information should not be shared ,"Study up on the appropriate info to share that falls within what is ""necessary""",ohio,,5,2,,2,1,,6,,673e3eec9d1cbf46b36096b5,67fecb3ede31a76593440504,68027affb09d89a101e3adda,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
695,4/18/25 9:23,R_3g5MJBvuq4aF68N,"1,2,3,4,15,18","3,4,12","5,6,8,10,11,12,13,18,19,21","12,13,14,18",2,The company should only have limited personal information e.g they do not need to know my credit score if i am able to pay for what i order for.,not sure,nevada,"19,45",2,2,,1,1,,2,,6723b0f2ee2013831dbbfc13,67fecb3ede31a76593440504,680279cf2017f2c49553b49b,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
259,4/18/25 9:23,R_5Y3vYPQnceON5WL,"4,6,10,18",,"7,20,23","7,10,18,20,21,22,23",1,I'm tired of every company having all my information to sell me more things,Stop collecting everything and anything,ohio,,2,3,,2,"1,2",,5,,57975e774d107800016dd38d,67fecb3ede31a76593440504,68027b85c5262dd075d7841b,California,to a purpose that consumers would reasonably expect.,finance,Venmo
331,4/18/25 9:24,R_5D0VHyfvAhH4M47,"12,13,14,23","20,21","12,13,14","13,14,19,20,21",1,It's a confidential information and should be protected at all times,none,CALIFORNIA,,4,2,,2,1,,2,,67ea312b7c99947a2f5ae7b4,67fecb3ede31a76593440504,68027b5368256f3a07bf40b1,Procedural,to a purpose they disclose to the consumer.,food and drink,DoorDash
584,4/18/25 9:24,R_5Iua6hLzHRoDYR1,"1,2,4,7,13,17,18,22,23","1,2,7,13,15,16,17,20,22,23","1,2,7,12,13,17,20,21,22,23","1,2,7,13,17,18,20,21,22,23",3,It depends upon what the app currently collects whether this measure will be effective.,"Some may need to make minimal changes, others will need drastic changes. Since this regulation covers a geographic area location info would need to be collected to ensure compliance. ",NY,"5,32",5,1,,2,1,,5,,63d3ccaecce99faa457fb049,67fecb3ede31a76593440504,68027a5627f0df110630eccb,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
451,4/18/25 9:24,R_1HiyfiGBs9nFHA5,"1,2","1,12",,,2,It is not to the users benefits to have their information used for the improvement of the app or to further enhance their advertising.,Less personal information needed to make their apps function.,Texas,,5,2,,2,2,,2,,571bdf806b0894001262df5b,67fecb3ede31a76593440504,68027a2f36d87d95f66b475c,Procedural,to a purpose they disclose to the consumer.,food and drink,DoorDash
571,4/18/25 9:24,R_32lv97X53ecBKw1,,,"1,10,12,21","3,4,8,10,18,20",2,null,null,Alaska,,2,1,,2,1,,1,,67e9a601c1917b831419cf77,67fecb3ede31a76593440504,68027a4646a9c180ecca5bf8,California,to a purpose that consumers would reasonably expect.,finance,Venmo
719,4/18/25 9:24,R_5itximLccMTlv8w,"4,6,15","5,6,7,8,11,13,14,20,24,26","6,7,8,12,15,18,25","6,7,19,21",2," My previous response selected ""Agree"" purely as a way to acknowledge the statement and move forward with the conversation, as the prompt asked for a degree of agreement.","App developers will likely need to make several changes to comply with a data minimization regulation that limits the collection of personal data to what is reasonably necessary and proportionate to a disclosed purpose. These changes will likely span the entire lifecycle of app development, from initial design to ongoing maintenance and updates. Here's a breakdown of potential changes:

1. Data Collection Policies and Practices:

Purpose Limitation: Developers will need to clearly define and document the specific, explicit, and legitimate purposes for each piece of personal data they collect. This purpose must be disclosed to the user. They can no longer collect data ""just in case"" or for unspecified future uses. For example, if an e-commerce app needs an address for shipping, it should only collect the shipping address and not ask for other address details without a clear and separate purpose.
Necessity and Proportionality Assessment: For each data point, developers will need to justify why it is strictly necessary to achieve the stated purpose. They must consider if less privacy-intrusive means can achieve the same goal. For instance, instead of collecting precise GPS location for a weather app, a less precise location based on zip code or city might suffice for general forecasts.
Reduced Data Collection: Apps will likely need to be redesigned to collect significantly less personal data by default. This might involve offering functionalities without requiring certain data or making data collection optional where possible. A social media app might allow users to create a basic profile with minimal information and offer additional fields as optional.
Granular Consent Mechanisms: Developers might need to implement more granular consent requests, allowing users to agree to specific data processing activities rather than broad terms. For example, an app might ask for separate consent for using location data for core functionality versus using it for personalized recommendations.
Just-in-Time Data Collection: Apps might adopt a strategy of requesting data only when it's actually needed for a specific feature, rather than collecting everything upfront during onboarding. A photo editing app might only ask for access to the device's gallery when the user attempts to upload a photo.
2. App Design and User Interface:

Privacy-by-Design Principles: Developers will need to integrate privacy considerations from the initial design stages of the app. This includes thinking about data minimization when planning features and functionalities.
Transparent Data Usage Disclosures: Privacy policies will need to be clear, concise, and easily accessible within the app, explaining what data is collected, why, how it's used, and for how long. The language should be user-friendly and avoid legal jargon.
User Control and Transparency: Apps should provide users with more control over their data, including the ability to review, manage, and delete the data collected about them. Clear mechanisms for accessing and modifying data will be essential.
Privacy-Protective Default Settings: Apps should be designed with privacy-friendly default settings, minimizing data collection and sharing unless the user actively chooses otherwise. For example, location tracking might be turned off by default.
3. Data Storage and Retention:

Purpose-Based Retention Policies: Developers will need to establish and enforce data retention policies that specify how long different types of personal data will be stored and when it should be securely deleted or anonymized once the purpose of collection is fulfilled.
Secure Data Handling: Implementing robust security measures, such as encryption and access controls, will be crucial to protect the limited data that is collected.
Regular Data Audits: Developers will need to conduct regular audits of their data collection and storage practices to ensure compliance with the data minimization principle and identify any unnecessary data being retained.
4. Development Processes and Tools:

Data Mapping and Inventory: Developers will need to map out all data flows within their apps, identifying what personal data is collected, where it's stored, how it's processed, and with whom it's shared.
Privacy Impact Assessments (PIA): Conducting PIAs for new features or significant changes to existing ones will help identify and mitigate potential privacy risks early in the development process, including assessing the necessity and proportionality of data collection.
Training and Awareness: Developers and all relevant personnel will need training on data minimization principles and the requirements of the new regulation.
Examples of Data Minimization in Apps:

A ride-sharing app only collects precise location data during an active ride and uses a less precise location for other purposes like showing nearby drivers.
A social networking app allows users to sign up with just an email address or phone number, with other profile details being optional.
A fitness tracking app only stores workout data and health metrics that are directly relevant to the user's fitness goals, without collecting excessive information about other aspects of their lives.
An online shopping app asks for a shipping address only when a purchase is being made, not during account creation.
A flashlight app requests permission to access the device's camera only while the flashlight feature is in use, not persistently.",Florida,9,1,1,,2,2,,2,,67d87a8f2d7bcd2a8f2d1fed,67fecb3ede31a76593440504,680279d600eb0a78238aa67c,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
448,4/18/25 9:24,R_7FEXVc27WR1T10B,"1,2,4,6,8,15,16,18,19","1,4,6,10,12,15,16,18","1,3,4,6","1,6,8,18",3,There are both advantages and disadvantages to data minimization ,Nothing ,Florida,9,4,2,,2,1,,1,,6745a917bbe06eee869301a1,67fecb3ede31a76593440504,68027ac1529c1de3f591af09,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
661,4/18/25 9:24,R_5fd5YhyWrszcGeM,"3,6,20","1,3,6,24,26,25",21,"1,2,4,18,20,21,23",1,sometime too much information can bad ,reduce the use of personal details and use more of physical verification ,Texas,,5,2,,2,1,,3,,67c224a575bb12f065fbd33e,67fecb3ede31a76593440504,680279e790a59aeaa8470878,Procedural,to a purpose they disclose to the consumer.,game,Roblox
594,4/18/25 9:24,R_7WYEgr945lBbay6,"13,14,15,20,21,22,23,24,26","13,14,17,20,21,22,23,24,26","1,13,14,15,16,20,21,22,23,24,26","13,14,17,20,21,22,23,24",2,in order to protect the consumer's privacy,Avoid collecting data that would pose risk to the customer.,Florida,"5,6,7,20,23,42,44,46",2,1,,2,1,,1,,67e8920714a03cead75a37cf,67fecb3ede31a76593440504,68027a504ae04095e42bc8a1,California,to a purpose that consumers would reasonably expect.,game,Roblox
297,4/18/25 9:24,R_6FvpuuQVhx5X3a1,"1,2,7,8,10,20,22,23","1,3,4,5,6,10,12,13,14,23","3,4,8,13,14,20,22","2,8,20,22",2,I think they only need what is necessary and not more. ,Make their user intentions known and easy to read in plain language.,New York,32,2,1,,2,1,,2,,6012e262527c380ccb2a6c74,67fecb3ede31a76593440504,68027b980184836ef9e08fe1,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
616,4/18/25 9:24,R_3Vttjm6n9PQiFMZ,"3,4,5,6,8,9,11,12,13,14,18,19,20","3,4,5,6,9,12,14,18,19,20","3,4,12,13,18,19,26","3,4,6,8,12,18,19,20",2,"I agree with the statement on data minimization because it aligns with protecting consumer privacy. Companies should only collect personal data that is directly relevant and necessary for a specific, transparent purpose that consumers can reasonably anticipate. This approach reduces the risk of misuse, enhances trust, and complies with privacy principles like those in GDPR. Limiting data collection to what’s proportionate ensures accountability and respects consumers’ expectations, fostering ethical data practices.","Audit data collection, Implement data filters and enhance user content",New York,"5,6,7,20,23,45",2,2,,2,1,,1,,67d094888b439045b9b7aa8c,67fecb3ede31a76593440504,68027a52dc6a1eb7c80b32ea,California,to a purpose that consumers would reasonably expect.,finance,Venmo
316,4/18/25 9:24,R_5ttJBL3MuRJrbh9,"22,23",12,4,"1,4,5,6,15,16",2,I think that there should be some kind of a limit on the data that companies are allowed to collect and keep.,Stop collecting as much information as they can just because they can.,Alabama,,4,2,,2,1,,3,,616964223dcbf0aa539dbae2,67fecb3ede31a76593440504,68027ac3be51bd3f19085867,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
635,4/18/25 9:24,R_3PU0bUGlE5zCmSF,"4,5,6,8,10,18,19,20,23","12,13,14,20,21","12,13,14,20,21","2,8,13,20,22,23,25",2,Only info that is necessary and proportionate should be collected. ,They will have to make changes to the data they collect. ,Georgia,,2,2,,2,2,,5,,61254fba095b9df425e816ea,67fecb3ede31a76593440504,68027a57c86c2c44e195e23a,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
612,4/18/25 9:24,R_3ZEmRwcgegVbw1r,"8,20,22,23","2,8,13,14,21","2,8,12,13,14,17,21","2,13,18,20,21,22,23",2,It should be unlawful to have too much personal information on a gamer,They will need to minimize even more than they are already ,GA,,5,2,,2,2,,5,,67e2f87c6e3741dd0aeb1cb1,67fecb3ede31a76593440504,68027a6975c91584ba605cc8,California,to a purpose that consumers would reasonably expect.,game,Roblox
152,4/18/25 9:25,R_3hGUpv3aWdlO5c3,"1,3,4,5,6,10","1,2,3,4,5,6,10,18","7,13,20",20,2,i feel that these days companies ask too much personal information for an app. they may be having users give out personal information that is not needed. ,,CA,,2,1,,2,4,,2,,5d3f5c8f0d0d29001a4bd973,67fecb3ede31a76593440504,68027c408bf6ed7401e50103,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
653,4/18/25 9:25,R_3ONMuft9elhprrO,"1,2,4,6","1,4,7,12,13,20,21","1,4,7,12","1,20,23",1,I think many apps are allowed access to far too much information that they do not really need. This is a security hazard if the app turns out to be corrupt or is hacked.,Many will have to pare back what they have access to and justify what they are needing access to.,North Carolina,,4,2,,2,1,,2,,6666ce245418b25b3570725f,67fecb3ede31a76593440504,68027a4d80af3a2ed3d3a079,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
569,4/18/25 9:25,R_7BhpUdLR4DVVhwB,"1,13,17,20,21,22,23","17,20,22,23","1,17,18,20,21,22,23","1,2,13,17,18,20,21,22,23",2,"From a logical standpoint, limiting data collection to what is necessary and proportionate aligns with principles of privacy and security. It reduces the potential risks associated with holding large amounts of personal data, such as data breaches and misuse. This approach empowers individuals with more control over their information and encourages companies to be more focused and transparent in their data practices.","To comply with data minimization, app developers will need to limit data collection to specific, necessary purposes, reduce data requests, implement clear retention policies with regular audits and anonymization where possible, enhance transparency with clear privacy policies and purpose disclosures, provide user control over their data, prioritize privacy by design in development, and regularly review compliance, ultimately leading to more privacy-respecting apps with reduced data security risks.",new york,"5,6,7,15,17,18,27",3,1,,2,1,,2,,67e7dbf60ed0916f30880498,67fecb3ede31a76593440504,68027a64ddc5d335a0605dbe,Procedural,to a purpose they disclose to the consumer.,game,Roblox
678,4/18/25 9:25,R_5IuU5ISrI5CzNDP,"1,2,4,6,18,19","1,3,4,6,18,19","1,4,10,13,14,15,18,20,21","16,18,20,21,22,23",2,The data minimization should be limited because there is so much fraud going on. The less information available until a system that is to be proven nopt be a fraud is made. The information should be limited.,They would need to create a system that has proven to protect the consumer from fraud.,North Carolina,,5,2,,2,2,,1,,66350a6a2e4e570ebbde861f,67fecb3ede31a76593440504,68027a4d0525abf90141ebe8,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
294,4/18/25 9:25,R_5KZwrP9IbDHwbKy,"1,13,17,20,22,23","1,2,12,13,17,18,20,21,22,23","12,13,20,21","13,17,20,21,22,23",1,Apps collect too much wide ranging data right now.,Collect less data and better use less data.,Vermont,,3,2,,2,1,,1,,627e6dcb0620566e15cb9eac,67fecb3ede31a76593440504,68027ac2e4fe5be306a5e7c3,Procedural,to a purpose they disclose to the consumer.,game,Roblox
703,4/18/25 9:25,R_5feMhKA9RzpLPmE,"1,3,4,5,10,12,13,20,23","1,2,13,20","7,13","20,22,23",2,It allows company to get the information they need but requires them to not go overboard.,Most would need to scale back the amount and type of data they are collecting. ,Ohio,5,4,2,,2,1,,5,,59b9e2d3d9ebf90001840905,67fecb3ede31a76593440504,68027a45d1163af954931569,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
290,4/18/25 9:26,R_5v0TAEoQHGjN9Xy,"15,18,20,23",15,,"18,20,22,23",1,the less data recorded the better,Cookies,Florida,,5,2,,2,1,,6,,66ca41de318c12cd9f59b13a,67fecb3ede31a76593440504,68027bed75c91584ba605cf1,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
726,4/18/25 9:26,R_5433WXhleaZzxd1,"1,3,4,5,6,7,8,10,12","12,13","12,13,21","20,22,23",2,Developers should be limited in the scope of information requested to preserve as much privacy as possible.,The developers would not be able to request information such as personal contacts.,Oregon,,5,1,,2,1,,2,,664fc75026476d4429e47c1f,67fecb3ede31a76593440504,68027a370d29a630863546c1,Procedural,to a purpose they disclose to the consumer.,food and drink,DoorDash
612,4/18/25 9:26,R_6F2hYIDVcV3Ow9X,22,"1,13,22,23","20,23","1,12,13,18,21",2,"You can give the user the chance to monetize their own data, but they should have a say in what it is used for.",Only track data they have explicit permission to track.,ky,,3,1,,2,1,,6,,5bc9206a66d04800015cf314,67fecb3ede31a76593440504,68027ab7d96cb8c07af7e973,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
585,4/18/25 9:26,R_5QEhpaAROkF2t4P,"4,6,8","3,4,6","4,18","3,4,6",1,It is going to help protect customers personal data and create safe and peace of mind when using the app.,Yes,New jersey,"5,6,20",1,1,,2,2,,2,,67d5f6c42a9c97450f6bbcd5,67fecb3ede31a76593440504,68027ad2a99f7f1925b2a640,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
723,4/18/25 9:26,R_3LA4hJPYq27Znud,1,"2,3,4,5,6,8,12,13,20,21,22,25","2,5,10,11,12,13,16,17,18,21,22,23,26","10,12,13,17,20,21,23",1,"I agree with the data minimization regulation because it protects users' privacy by ensuring companies only collect the personal information they truly need. This builds trust, especially for platforms used .","To comply with data minimization regulations, app developers must limit data collection to only what’s necessary, clearly state data use purposes, design privacy-focused features, establish strict data retention policies, and provide users with control over their information. These changes protect user privacy and help build greater trust with consumers.",Texas,"5,47",3,2,,2,1,,1,,67e0577f4be659ef3f567d1d,67fecb3ede31a76593440504,68027a4d49473a37a851b474,Procedural,to a purpose they disclose to the consumer.,game,Roblox
726,4/18/25 9:26,R_1Ns6MchfyilPgZo,"1,3,4,6,18,20,21,22,23","1,3,4,6,8,13,18,20,21","7,13,18,20,21,23","1,7,13,18,20,22,23",2,"Technology companies have more than enough information already, they need to be limited to prevent abuses ",Make technology changes on their platforms to follow the current laws and regulations and be transparent about the changes disclose them to their users.,Texas,"5,19,21,45",4,1,,1,1,,1,,60abe3a9e04d08af7d0ddbe2,67fecb3ede31a76593440504,68027a4f1e84124bea9a7985,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
827,4/18/25 9:26,R_3yqqLwA4m6n20FK,"1,12",12,,,3,User ID is necessary for the use to login. Purchase history helps the user to buy the same items. the items. Other features aren't necessary.,If the legal institution requires the changes.,Mississippi,"5,6,7,8,9,14,15,17,20,23,26,27,29,30,37,39,42,43,44,46",4,2,,2,4,,2,,65cd164122345f20629bede9,67fecb3ede31a76593440504,680279f7efcbe1d845e3a615,California,to a purpose that consumers would reasonably expect.,shopping,Walmart
676,4/18/25 9:26,R_34jxGLbjMQ65POb,"1,7,13,18,20,21,22,25","2,18,20,23","1,2,4,6,7,20,21,23","1,2,18,20,21,23,25",1,Data Minimization  regulation should be enacted because it will help consumers get better trust with the company and it will also prevent fraud and lose of data,App developers should only develop apps to collect only necessary data according to the regulation and should also be accountable and be transparent about how users data are used and stored,Iowa,"1,2,5,10,12,13,15,18",4,2,,2,1,,2,,6766d891dacbe3d2bce19b29,67fecb3ede31a76593440504,68027a8c7985c906ad0b1465,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
789,4/18/25 9:26,R_5DSxWH2hJggWnQT,"1,2,3,4,6,11,15,17,18,19,20,24,26","1,3,4,9,17,20","1,3,4,15,20,21","3,4,6,12,13,25",2,then the user data will be safe,they should strict follow the user preference,ga,10,1,2,,2,1,,3,,67f1f5ae37225c87ef8af243,67fecb3ede31a76593440504,680279e32de1580e6b0b2a3e,California,to a purpose that consumers would reasonably expect.,shopping,Walmart
649,4/18/25 9:27,R_6dyHsDoK03ue9uD,"1,2,3,4,6,7","7,13,14,20,23","7,13,14,20,21,23","20,22,23",1,"Mobile apps should be subject to data minimization governance throughout, for the sake of users' privacy and reducing security risks. This reduces the likelihood of data breaches, sharing without consent, or misuse, which are common in apps with wide data access. It also empowers the users by providing transparency and control over their personal data.","To comply with data minimization regulations, app developers must limit data collection to only what’s essential, update privacy policies for transparency, implement strict data retention and deletion practices, and introduce granular user consent options. They’ll also need to audit third-party data sharing, adopt privacy-by-design principles, and enhance security measures like encryption. These changes ensure compliance with laws, reduce legal risks, and build user trust, though they may increase development costs.",Alabama,5,4,2,,2,1,,1,,67e83670d63e661cd96e6290,67fecb3ede31a76593440504,68027a3cb30a811006a2d20b,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
893,4/18/25 9:27,R_6MNhUvIu5cCdYAC,"5,6,8,9,13,18,20,21,22,26","8,9,10,11,12,18,20,21,23","2,4,12,13,14,15,17,20,21,23,25","1,2,3,4,6,9,20,23",2, I believe the data minimization regulation should be enacted because they don't need that much of data for help. It's a very risky process for users.,"They could collect our name, email address, web history etc, which is less harmful for users",Texas,5,3,2,,2,1,,3,,6138c15bd47ecca8b56a704f,67fecb3ede31a76593440504,680279d21e77214fe26cea9f,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
